name,year,set,cardNo,team,c,pu,so,gb,fb,bb,si,sip,du,tr,hr,points,ip,hand,icon,pos
**Jason Isringhausen,'02,,132,Cardinals,5,1-2,3-9,10-15,16-18,-,19-,-,20-24,-,25+,260,1,R,,Closer
Josh Beckett,'02,,132,Marlins,3,1-4,5-11,12-13,14-18,19-,20-24,-,-,-,25+,500,5,R,,Starter
Josh Beckett,'04,,132,Marlins,5,1-3,4-9,10-15,16-,17-,18-19,-,20-26,-,27+,440,6,R,,Starter
**David Bush,'05,,132,Blue Jays,4,1-3,4-7,8-13,14-16,17-,18-19,-,20-23,-,24+,270,6,R,,Starter
Carl Pavano,'05,,133,Marlins,4,1-3,4-6,7-14,15-16,17-,18-19,-,20-25,-,26+,400,7,R,,Starter
**Todd Ritchie,'02,,133,White Sox,1,1-3,4-7,8-15,16-19,-,20-24,-,-,-,25+,340,6,R,,Starter
**Jason Jennings '02,'03,,133,Rockies,3,1-3,4-7,8-14,15-17,18-,19-,-,20-25,-,26+,310,7,R,RY,Starter
A.J. Burnett,'02,,133,Marlins,4,1-3,4-7,8-12,13-16,17-18,19-,-,20-22,-,23+,310,6,R,,Starter
*Ugueth Urbina,'01,,133,Expos,4,1-3,4-10,12-14,15-17,18-,19-20,-,-,-,-,270,1,R,,Closer
Steve Karsay,'01,,133,Indians,5,1-,2-6,7-12,13-15,16-,17-19,-,20-,-,-,190,1,R,,Closer
*Steve Kline,'01,,134,Cardinals,4,1-2,3-6,7-12,13-15,16-,17-19,-,20-,-,-,110,1,L,,Reliever
Matt Perisho,'05,,134,Marlins,2,1-,2-6,7-11,12-16,17-18,19-,-,20-23,-,24+,80,1,L,,Reliever
**Shawn Estes,'02,,134,Mets,5,1-2,3-5,6-11,12-15,16-17,18-19,-,20-26,-,27+,320,6,L,,Starter
**Matt Clement,'05,,134,Red Sox,3,1-,2-7,8-14,15-17,18-,19-21,-,22-23,-,24+,370,6,R,,Starter
Ryan Dempster,'02,,135,Marlins,4,1-3,4-7,8-12,13-15,16-17,18-19,-,20-24,-,25+,160,6,R,,Starter
**Paul Byrd,'05,,135,Angels,4,1-,2-4,5-9,10-15,16-,17-18,-,19-22,-,23+,290,6,R,,Starter
**Kevin Millwood,'02,,135,Braves,2,1-4,5-8,9-13,14-18,-,19-,-,-,-,20+,190,6,R,,Starter
Charles Nagy,'00,,135,Indians,3,4-6,1-3,7-12,13-16,-,17-19,-,20-,-,-,320,6,R,,Starter
Vladimir Nunez,'03,,135,Marlins,4,1-4,5-8,9-13,14-16,17-,18-19,-,20-23,-,24+,170,1,R,,Reliever
*Juan Guzman,'00,,135,Devil Rays,5,5-6,1-4,7-10,11-15,16-17,18-19,-,20-,-,-,40,5,R,,Starter
*Tanyon Sturtze,'01,,135,Devil Rays,4,1-3,4-6,7-12,13-15,16-17,18-19,-,20-,-,-,190,2,R,,Reliever
*Ryan Rupe,'00,,136,Devil Rays,5,4-5,1-3,6-10,11-15,16-17,18-19,-,20-,-,-,460,6,R,,Starter
Tim Spooneybarger,'05,,136,Marlins,6,1-4,5-14,15-17,18-,19-23,-,24-27,-,28+,,310,1,R,,Reliever
**Aaron Sele,'02,,136,Angels,2,1-4,5-7,8-13,14-18,-,19-20,-,-,-,21+,360,6,R,,Starter
Dontrelle Willis,'05,,137,Marlins,2,1-3,4-7,8-14,15-16,17-,18-19,-,20-24,-,25+,190,6,L,,Starter
*Tomokazu Ohka,'01,,137,Red Sox,2,1-4,5-7,8-13,14-17,-,18-19,-,20-,-,-,320,6,R,,Starter
**Rick Helling,'02,,137,Diamondbacks,3,1-4,5-8,9-13,14-16,-,17-,-,18-19,-,20+,10,6,R,,Starter
**Billy Koch,'02,,138,Athletics,3,1-3,4-7,8-14,15-16,17-18,19-23,-,-,-,24+,40,1,R,,Closer
Paul Shuey,'00,,138,Indians,6,7-8,1-6,9-13,14-15,16-17,18-19,-,20-,-,-,160,1,R,,Reliever
Braden Looper,'04,,138,Marlins,3,1-2,3-6,7-14,15-16,17-,18-19,-,20-26,-,27+,120,1,R,,Closer
Braden Looper,'02,,138,Marlins,1,1-3,4-8,9-16,17-19,20-22,-,-,-,-,23+,70,1,R,,Reliever
Bob Wickman,'01,,139,Indians,5,1-3,4-7,8-14,15-16,17-,18-19,-,20-,-,-,250,1,R,,Closer
*Esteban Yan,'00,,139,Devil Rays,2,5-6,1-4,7-11,12-15,16-17,18-20,-,-,-,-,50,1,R,,Reliever
**Paul Quantrill,'02,,139,Dodgers,5,1-2,3-6,7-14,15-16,-,17-19,-,20-23,-,24+,110,1,R,,Reliever
*Kip Wells,'01,,139,White Sox,4,1-2,3-6,7-11,12-14,15-16,17-19,-,20-,-,-,160,5,R,,Starter
**Kerry Wood '98,'03,,140,Cubs,4,1-2,3-10,11-14,15-,16-17,18-19,-,20-,-,21+,420,6,R,RY,Starter
**Frank Francisco,'05,,140,Rangers,3,1-5,6-11,12-14,15-16,17-18,19-22,-,23-25,-,26+,170,1,R,,Reliever
Pedro Astacio,'01,,140,Rockies,1,1-2,3-8,9-14,15-17,18-,19-,-,20-,-,-,170,6,R,,Starter
**Tim Spooneybarger,'02,,140,Braves,5,1-3,4-7,8-12,13-16,17-,18-28,-,-,-,29+,160,1,R,,Reliever
**Jorge Julio,'02,,141,Orioles,5,1-3,4-7,8-11,12-15,16-17,18-19,-,20-24,-,25+,40,1,R,,Reliever
Brian Bohanon,'01,,141,Rockies,3,1-3,4-6,7-13,14-16,17-,18-19,-,20-,-,-,390,07,L,,Starter
Brad Penny,'02,,141,Marlins,3,1-3,4-7,8-14,15-18,-,19-,-,20-26,-,27+,440,07,R,,Starter
Mark Redman,'04,,141,Marlins,4,1-2,3-6,7-12,13-16,17-,18-19,-,20-25,-,26+,420,7,L,,Starter
**Woody Williams,'05,,141,Padres,3,1-3,4-7,8-13,14-17,-,18-19,-,20-24,-,25+,350,6,R,,Starter
**Carlos Hernandez,'02,,142,Astros,4,1-3,4-7,8-11,12-15,16-18,19-22,-,-,-,23+,260,6,L,,Starter
**Rick Ankiel,'02,,143,Cardinals,3,1-3,4-7,8-12,13-15,16-18,19-24,-,-,-,25+,180,5,L,,Starter
Roger Clemens,'05,,143,Astros,5,1-2,3-7,8-13,14-16,17-,18-19,-,20-25,-,26+,520,6,R,CY,Starter
Tim Spooneybarger,'04,,143,Marlins,6,1-2,3-6,7-16,17-,18-,19-23,-,24-27,-,28+,270,1,R,,Reliever
*Kenny Rogers,'00,,143,Rangers,4,4-5,1-3,6-12,13-15,16-,17-19,-,20-,-,-,350,6,L,,Starter
Pedro Astacio,'00,,143,Rockies,4,6-7,1-5,8-11,12-15,16-,17-18,-,19-,-,20+,220,07,R,,Starter
Dontrelle Willis,'04,,144,Marlins,3,1-,2-6,7-12,13-16,17-,18-19,-,20-25,-,26+,240,6,L,RY R,Starter
**Jeff Suppan,'05,,144,Cardinals,2,1-3,4-6,7-14,15-16,17-,18-19,-,20-23,-,24+,120,6,R,,Starter
**Scott Erickson,'02,,144,Orioles,1,1-3,4-5,6-14,15-18,19-,20-22,-,-,-,23+,160,6,R,,Starter
Billy Wagner,'03,,145,Astros,5,1-,2-8,9-13,14-17,18-19,20-21,-,22-,-,23+,260,1,L,,Closer
**Steve Reed,'05,,145,Orioles,2,1-,2-4,5-11,12-16,17-,18-19,-,20-24,-,25+,90,1,R,,Reliever
Mike Gallo,'05,,146,Astros,1,1-,2-5,6-12,13-15,16-,17-18,-,19-21,-,22+,10,1,L,R,Reliever
*Chris Carpenter,'00,,146,Blue Jays,3,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
**Jon Lieber,'05,,146,Phillies,3,1-,2-4,5-12,13-16,-,17-19,-,20-24,-,25+,270,7,R,,Starter
**Kazuhisa Ishii,'02,,146,Dodgers,4,1-3,4-11,12-15,16-17,18-19,20-24,-,-,-,25+,290,6,L,,Starter
*Shane Reynolds,'01,,146,Astros,1,1-2,3-6,7-14,15-17,-,18-19,-,20-,-,-,190,6,R,,Starter
**Pedro Astacio,'02,,147,Mets,3,1-3,4-8,9-13,14-17,18-,19-25,-,-,-,26+,250,07,R,,Starter
Paul Byrd,'03,,147,Royals,5,1-,2-4,5-10,11-16,17-,18-19,-,20-21,-,22+,420,07,R,,Starter
Brian Bohanon,'00,,147,Rockies,0,5-7,1-4,8-12,13-17,18-,19-,-,20-,-,-,10,6,L,,Starter
**Satoru Komiyama,'02,,148,Mets,4,1-5,6-9,10-14,15-17,-,18-22,-,-,-,23+,130,1,R,,Reliever
Jose Jimenez,'01,,148,Rockies,5,1-2,3-5,6-13,14-16,17-,18-19,-,20-,-,-,260,1,L,,Closer
Octavio Dotel,'02,,148,Astros,4,1-3,4-11,12-14,15-17,18-19,20-26,-,-,-,27+,170,1,R,,Reliever
Brad Lidge,'05,,149,Astros,5,1-2,3-12,13-15,16-18,19-,20-22,-,23-24,-,25+,250,1,R,,Closer
Jerry Dipoto,'00,,149,Rockies,0,7-,1-6,8-13,14-18,19-,20-,-,-,-,-,70,1,R,,Reliever
**Kurt Ainsworth,'02,,149,Giants,3,1-4,5-9,10-14,15-16,17-,18-25,-,-,-,26+,60,1,R,,Reliever
*Roy Halladay,'00,,149,Blue Jays,4,4-6,1-3,7-11,12-15,16-17,18-19,-,20-,-,-,400,07,R,,Starter
**John Smoltz,'02,,150,Braves,5,1-2,3-8,9-14,15-17,-,18-19,-,20-22,-,23+,160,1,R,,Reliever
Dan Miceli,'05,,150,Astros,4,1-2,3-8,9-13,14-16,17-18,19-21,-,22-23,-,24+,180,1,R,,Reliever
Octavio Dotel,'04,,150,Astros,6,1-3,4-10,11-15,16-18,19-,20-21,-,22-23,-,24+,300,1,R,,Reliever
*Jay Powell,'01,,150,Astros,4,1-2,3-6,7-11,12-15,16-17,18-19,-,20-,-,-,110,1,R,,Reliever
**Bronson Arroyo,'05,,150,Red Sox,3,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+,310,6,R,,Starter
Wade Miller,'02,,151,Astros,3,1-3,4-8,9-14,15-17,18-,19-,-,20-,-,21+,290,07,R,,Starter
Wade Miller,'05,,151,Astros,3,1-,2-6,7-11,12-16,17-,18-19,-,20-23,-,24+,300,6,R,,Starter
Darryl Kile,'00,,151,Rockies,0,5-6,1-4,7-12,13-17,18-,19-,-,20-,-,-,10,6,R,,Starter
*Travis Miller,'01,,152,Twins,4,1-2,3-7,8-12,13-15,16-,17-19,-,20-,-,-,100,1,L,,Reliever
Curtis Leskanic,'00,,152,Rockies,0,8-9,1-7,10-16,17-18,19-,-,-,20-,-,-,60,1,R,,Reliever
Roy Oswalt,'05,,152,Astros,4,1-2,3-7,8-13,14-17,18-,19-20,-,21-25,-,26+,490,8,R,20,Starter
Roy Oswalt,'02,,152,Astros,2,1-3,4-10,11-16,17-19,-,20-24,-,-,-,25+,510,07,R,,Starter
Shane Reynolds,'02,,153,Astros,5,1-2,3-4,5-12,13-15,16-,17-19,-,20-21,-,22+,290,07,R,,Starter
Gabe White,'01,,153,Rockies,5,1-3,4-9,10-12,13-17,-,18-19,-,20-,-,-,260,1,L,,Reliever
Gabe White,'01,,153,Rockies,5,1-3,4-9,10-12,13-17,-,18-19,-,20-,-,-,260,1,L,,Reliever
Shawn Camp,'05,,154,Royals,2,1-,2-5,6-13,14-16,17-,18-19,-,20-23,-,24+,80,2,R,R,Reliever
Masato Yoshii,'01,,154,Rockies,4,1-3,4-6,7-11,12-15,16-,17-18,-,19-,-,20+,150,6,R,,Starter
*Nelson Cruz,'01,,154,Astros,1,1-3,4-7,8-13,14-17,18-,19-,-,-,-,20+,10,1,R,,Reliever
Matt Anderson,'01,,155,Tigers,3,1-2,3-8,9-13,14-16,17-18,19-20,-,-,-,-,130,1,R,,Reliever
Brad Lidge,'04,,155,Astros,5,1-,2-7,8-11,12-16,17-,18-19,-,20-25,-,26+,180,1,R,R,Reliever
Dave Veres,'00,,155,Rockies,0,8-10,1-7,11-15,16-18,-,19-,-,-,-,20+,60,1,R,,Closer
**Antonio Alfonseca,'05,,155,Marlins,3,1-,2-4,5-14,15-16,17-,18-19,-,20-25,-,26+,180,1,R,,Reliever
Eric Gagne,'03,,155,Dodgers,6,1-2,3-10,11-14,15-17,18-,19-,-,20-23,-,24+,260,1,R,,Closer
Roy Oswalt,'04,,156,Astros,2,1-3,4-8,9-15,16-18,19-,20-,-,21-23,-,24+,340,6,R,,Starter
Darrell May,'05,,157,Royals,1,1-4,5-8,9-13,14-15,16-,17-18,-,19-22,-,23+,10,6,L,,Starter
Jeriome Robertson,'04,,157,Astros,5,1-2,3-6,7-0,11-12,13-14,15-17,-,18-,-,19+,10,5,L,R,Starter
**Armando Benitez,'05,,157,Giants,6,1-,2-6,7-10,11-17,18-19,20-22,-,23-24,-,25+,320,1,R,,Closer
Roberto Hernandez,'02,,158,Royals,1,1-3,4-8,9-15,16-19,-,20-23,-,-,-,24+,80,1,R,,Closer
Billy Wagner,'04,,158,Astros,6,1-,2-8,9-13,14-17,18-,19-22,-,23-24,-,25+,270,1,L,,Closer
**Esteban Loaiza,'05,,158,Nationals,2,1-4,5-8,9-14,15-16,17-,18-19,-,20-23,-,24+,160,6,R,,Starter
Kazuhisha Ishii,'03,,159,Dodgers,1,1-3,4-8,9-14,15-16,17-19,20-21,-,22-,-,23+,160,6,L,R,Starter
**Steve Kline,'05,,159,Orioles,4,1-2,3-6,7-14,15-16,17-18,19-22,-,23-25,-,26+,240,1,L,,Reliever
Jason Grimsley,'04,,161,Royals,1,1-2,3-6,7-15,16-,17-,18-19,-,20-25,-,26+,10,1,R,,Reliever
Scott Sullivan,'05,,161,Royals,1,1-2,3-6,7-11,12-16,17-,18-19,-,20-23,-,24+,20,1,R,,Reliever
Dan Reichert,'02,,161,Royals,2,1-2,3-5,6-14,15-16,17-18,19-22,-,-,-,23+,190,6,R,,Starter
Jeff Suppan,'02,,162,Royals,4,1-3,4-6,7-12,13-16,17-,18-19,-,20-22,-,23+,310,6,R,,Starter
Runelvys Hernandez,'04,,163,Royals,3,1-3,4-6,7-13,14-16,17-,18-19,-,20-24,-,25+,220,6,R,,Starter
Wilson Alvarez,'05,,163,Dodgers,4,1-4,5-9,10-14,15-16,17-,18-22,-,23-24,-,25+,290,5,L,,Starter
Kris Wilson,'02,,164,Royals,2,1-3,4-6,7-13,14-17,-,18-,-,19-,-,20+,20,6,R,,Starter
Hideo Nomo,'03,,164,Dodgers,3,1-,2-6,7-11,12-16,17-,18-19,-,20-22,-,23+,310,6,R,,Starter
*David Wells,'01,,164,White Sox,5,1-3,4-7,8-12,13-15,-,16-19,-,20-,-,-,460,07,L,,Starter
Terry Adams,'02,,165,Dodgers,4,1-2,3-7,8-14,15-16,17-,18-26,-,-,-,27+,450,07,R,,Starter
Todd Jones,'01,,165,Tigers,3,1-2,3-8,9-14,15-16,17-,18-20,-,-,-,-,160,1,R,,Closer
Jesse Orosco,'03,,165,Dodgers,4,1-5,6-9,10-14,15-16,17-,18-19,-,20-,-,21+,160,1,L,,Reliever
Todd Jones,'00,,165,Tigers,3,6-7,1-5,8-13,14-16,17-18,19-20,-,-,-,-,150,1,R,,Closer
Todd Jones,'01,,165,Tigers,3,1-2,3-8,9-14,15-16,17-,18-20,-,-,-,-,160,1,R,,Closer
Curtis Leskanic,'04,,165,Royals,5,1-,2-6,7-13,14-17,18-,19-,-,20-26,-,27+,220,1,R,,Reliever
**Hoyt Wilhelm,'05,,166,Orioles,6,1-2,3-7,8-13,14-16,17-,18-20,-,21-27,-,28+,340,2,R,RP,Reliever
Brian Moehler,'01,,166,Tigers,4,1-3,4-6,7-12,13-15,-,16-19,-,20-,-,-,340,6,R,,Starter
Odalis Perez,'03,,166,Dodgers,5,1-4,5-8,9-15,16-17,18-,19-,-,20-22,-,23+,590,07,L,,Starter
Jose Lima,'04,,166,Royals,2,1-3,4-5,6-11,12-15,16-17,18-19,-,20-24,-,25+,60,5,R,,Starter
*Hideo Nomo,'01,,167,Red Sox,4,1-2,3-8,9-12,13-15,16-17,18-19,-,-,-,20+,190,6,R,,Starter
Mike MacDougal,'04,,167,Royals,4,1-,2-5,6-11,12-14,15-17,18-20,-,21-26,-,27+,90,1,R,,Closer
Eric Gagne,'05,,167,Dodgers,6,1-,2-9,10-14,15-17,18-,19-22,-,23-25,-,26+,310,1,R,RP,Closer
Mike Dejean,'03,,167,Brewers,2,1-2,3-6,7-13,14-16,17-19,20-21,-,22-23,-,24+,120,1,R,,Reliever
Dave Mlicki,'00,,167,Tigers,3,4-6,1-3,7-12,13-16,17-,18-19,-,20-,-,-,340,6,R,,Starter
Hideo Nomo,'01,,167,Tigers,2,1-3,4-9,10-13,14-17,18-,19-,-,20-,-,-,290,6,R,,Starter
Brian Moehler,'00,,168,Tigers,3,4-6,1-3,7-12,13-16,-,17-19,-,20-,-,-,320,6,R,,Starter
Jeff Weaver,'01,,169,Tigers,2,1-3,4-7,8-13,14-17,-,18-19,-,20-,-,-,350,07,R,,Starter
C. J. Nitkowski,'00,,169,Tigers,4,5-7,1-4,8-12,13-16,17-19,20-,-,-,-,-,150,1,L,,Reliever
Kazuhisa Ishii,'05,,169,Dodgers,2,1-,2-4,5-9,10-15,16-17,18-19,-,20-24,-,25+,150,6,L,,Starter
Jeff Weaver,'01,,169,Tigers,2,1-3,4-7,8-13,14-17,-,18-19,-,20-,-,-,350,07,R,,Starter
*Ramon Ortiz,'01,,170,Angels,1,1-3,4-7,8-14,15-17,18-19,20-,-,-,-,-,250,6,R,,Starter
Antonio Alfonseca,'01,,170,Marlins,4,1-2,3-6,7-13,14-15,16-,17-19,-,20-,-,-,140,1,R,,Closer
*Mike Holtz,'01,,171,Angels,4,1-2,3-7,8-12,13-15,16-17,18-20,-,-,-,-,150,1,L,,Reliever
Jeff Weaver,'00,,171,Tigers,3,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-,330,6,R,,Starter
Jose Lima,'05,,171,Dodgers,4,1-2,3-7,8-13,14-17,18-,19-20,-,21-24,-,25+,430,7,R,,Starter
Ryan Dempster,'01,,172,Marlins,3,1-3,4-8,9-13,14-16,17-,18-19,-,20-,-,-,360,07,R,,Starter
Ben Sheets,'03,,172,Brewers,2,1-,2-5,6-12,13-16,17-,18-19,-,20-23,-,24+,150,6,R,,Starter
Jeff Weaver,'05,,172,Dodgers,3,1-2,3-6,7-12,13-16,17-,18-19,-,20-25,-,26+,280,6,R,,Starter
Ryan Dempster,'01,,172,Marlins,3,1-3,4-8,9-13,14-16,17-,18-19,-,20-,-,-,360,07,R,,Starter
Antonio Alfonseca,'00,,172,Marlins,3,5-6,1-4,7-13,14-16,17-,18-20,-,-,-,-,150,1,R,,Closer
Ryan Dempster,'01,,172,Marlins,3,1-3,4-8,9-13,14-16,17-,18-19,-,20-,-,-,360,07,R,,Starter
Jeff Bennett,'05,,173,Brewers,2,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+,60,1,R,R,Reliever
*Mike Mussina,'01,,173,Yankees,3,1-,2-7,8-14,15-17,-,18-19,-,20-,-,-,470,07,R,,Starter
Kevin Brown,'04,,174,Dodgers,5,1-,2-6,7-15,16-17,18-,19-23,-,24-26,-,27+,630,7,R,,Starter
Chan Ho Park,'02,,174,Dodgers,2,1-4,5-10,11-15,16-18,19-24,-,-,-,-,25+,400,07,R,,Starter
Eddie Guardado,'03,,174,Twins,5,1-4,5-9,10-13,14-16,17-,18-19,-,20-21,-,22+,200,1,L,,Closer
**Nolan Ryan,'05,,175,Angels,5,1-,2-10,11-12,13-17,18-20,21-,-,22-,-,23+,750,8,R,20 K,Starter
Luke Prokopec,'02,,175,Dodgers,4,1-4,5-7,8-11,12-16,17-,18-19,-,-,-,20+,160,6,R,,Starter
Ryan Dempster,'00,,176,Marlins,4,6-7,1-5,8-11,12-14,15-17,18-19,-,20-,-,-,220,6,R,,Starter
Brian Edmondson,'00,,177,Marlins,0,5-7,1-4,8-13,14-18,19-,-,-,20-,-,-,60,1,R,,Reliever
Braden Looper,'01,,177,Marlins,4,1-3,4-5,6-13,14-15,16-17,18-20,-,-,-,-,170,1,R,,Reliever
Eric Gagne,'04,,177,Dodgers,6,1-,2-11,12-16,17-18,19-,20-24,-,25-27,-,28+,310,1,R,CY RP,Closer
Doug Davis,'05,,177,Brewers,3,1-,2-5,6-12,13-16,17-,18-19,-,20-25,-,26+,320,6,L,,Starter
Brad Penny,'01,,179,Marlins,5,1-2,3-5,6-11,12-14,15-16,17-19,-,20-,-,-,310,5,R,,Starter
Brooks Kieschnick,'05,,180,Brewers,3,1-,2-5,6-12,13-16,17-,18-19,-,20-23,-,24+,110,1,R,,Reliever
Mike DeJean,'02,,180,Brewers,3,1-3,4-8,9-14,15-17,18-19,20-26,-,-,-,27+,110,1,R,,Reliever
Eric Milton,'03,,180,Twins,4,1-2,3-5,6-10,11-16,17-,18-19,-,20-,-,21+,350,6,L,,Starter
Chad Fox,'02,,181,Brewers,5,1-3,4-10,11-14,15-17,18-19,20-24,-,-,-,25+,240,1,R,,Reliever
Braden Looper,'00,,181,Marlins,4,4-6,1-3,7-12,13-15,16-,17-20,-,-,-,-,120,1,R,,Reliever
Dan Kolb,'05,,181,Brewers,5,1-2,3-4,5-15,16-,17-,18-23,-,24-26,-,27+,230,1,R,,Closer
Jesus Sanchez,'01,,182,Marlins,3,1-3,4-6,7-11,12-16,17-,18-,-,19-,-,20+,160,6,L,,Starter
Brian Meadows,'00,,183,Marlins,0,4-6,1-3,7-12,13-18,-,19-,-,20-,-,-,100,6,R,,Starter
Hideo Nomo,'04,,183,Dodgers,2,1-4,5-9,10-15,16-18,19-,20-21,-,22-23,-,24+,370,7,R,,Starter
Paul Quantrill,'04,,184,Dodgers,5,1-3,4-6,7-15,16-,17-,18-19,-,20-27,-,28+,210,1,R,,Reliever
Dennis Springer,'00,,185,Marlins,0,4-6,1-3,7-12,13-18,-,19-20,-,-,-,-,210,07,R,,Starter
Nick Neugebauer,'02,,185,Brewers,5,1-2,3-7,8-11,12-15,16-18,19-25,-,-,-,26+,400,5,R,,Starter
Victor Santos,'05,,185,Brewers,2,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+,140,5,R,,Starter
Tomo Ohka,'03,,186,Expos,4,1-4,5-7,8-14,15-16,17-,18-19,-,20-22,-,23+,380,6,R,,Starter
Ben Sheets,'02,,187,Brewers,2,1-3,4-6,7-13,14-17,-,18-19,-,20-,-,21+,160,6,R,,Starter
Javier Vazquez,'03,,188,Expos,4,1-,2-5,6-11,12-16,17-,18-19,-,20-22,-,23+,360,07,R,,Starter
Brooks Kieschnick,'04,,190,Brewers,1,1-2,3-6,7-14,15-16,17-,18-19,-,20-25,-,26+,10,1,R,R,Reliever
Jose Cabrera,'01,,190,Astros,5,1-2,3-5,6-9,10-14,15-,16-18,-,19-20,-,-,40,1,R,,Reliever
Octavio Dotel,'01,,191,Astros,6,1-3,4-8,9-10,11-14,15-16,17-18,-,19-,-,20+,30,1,R,,Closer
Scott Elarton,'01,,192,Astros,1,1-4,5-7,8-12,13-17,18-,19-,-,20-,-,-,140,6,R,,Starter
Scott Elarton,'00,,192,Astros,4,7-9,1-6,10-12,13-16,17-,18-19,-,20-,-,-,440,6,R,,Starter
Scott Elarton,'01,,192,Astros,1,1-4,5-7,8-12,13-17,18-,19-,-,20-,-,-,140,6,R,,Starter
Scott Elarton,'01,,192,Astros,1,1-4,5-7,8-12,13-17,18-,19-,-,20-,-,-,140,6,R,,Starter
Pedro Astacio,'03,,193,Mets,3,1-3,4-7,8-13,14-16,17-,18-19,-,20-,-,21+,280,6,R,,Starter
Joe Mays,'02,,193,Twins,2,1-4,5-7,8-14,15-19,-,20-23,-,-,-,24+,490,07,R,,Starter
Scott Linebrink,'05,,193,Padres,5,1-2,3-8,9-12,13-16,17-,18-19,-,20-24,-,25+,210,1,R,,Reliever
Armando Benitez,'03,,194,Mets,5,1-2,3-8,9-12,13-16,17-,18-19,-,20-,-,21+,210,1,R,,Closer
Chris Holt,'01,,194,Astros,1,1-2,3-5,6-13,14-17,-,18-19,-,20-,-,-,210,6,R,,Starter
Brad Radke,'05,,194,Twins,4,1-2,3-6,7-13,14-17,-,18-19,-,20-24,-,25+,410,6,R,,Starter
Ben Sheets,'04,,194,Brewers,4,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+,310,6,R,,Starter
Eric Milton,'02,,195,Twins,1,1-6,7-10,11-13,14-19,-,-,-,20-,-,21+,220,6,L,,Starter
Johan Santana,'05,,195,Twins,6,1-2,3-8,9-13,14-17,18-,19-21,-,22-23,-,24+,640,7,L,20 CY K,Starter
Jose Lima,'01,,195,Astros,2,1-3,4-6,7-11,12-16,-,17-18,-,19-,-,20+,30,6,R,,Starter
Mike Hampton,'00,,195,Astros,3,6-7,1-5,8-14,15-16,17-18,19-20,-,-,-,-,470,07,L,,Starter
Al Leiter,'03,,196,Mets,4,1-3,4-8,9-14,15-16,17-,18-19,-,20-22,-,23+,410,6,L,,Starter
Ben Sheets,'05,,196,Brewers,5,1-2,3-8,9-14,15-17,-,18-19,-,20-24,-,25+,510,7,R,K,Starter
Brad Radke,'02,,198,Twins,5,1-3,4-6,7-12,13-16,-,17-19,-,20-23,-,24+,420,07,R,,Starter
Jose Lima,'00,,198,Astros,3,6-9,1-5,10-13,14-17,-,18-19,-,20-,-,-,460,07,R,,Starter
LaTroy Hawkins,'04,,198,Twins,5,1-2,3-7,8-12,13-16,17-,18-19,-,20-26,-,27+,200,1,R,,Reliever
Jay Powell,'00,,199,Astros,4,7-9,1-6,10-12,13-14,15-16,17-19,-,20-,-,-,70,1,R,,Reliever
Danny Graves,'05,,199,Reds,4,1-2,3-5,6-14,15-16,17-,18-19,-,20-23,-,24+,210,1,R,,Closer
Shane Reynolds,'00,,200,Astros,3,7-8,1-6,9-14,15-17,-,18-19,-,20-,-,-,470,07,R,,Starter
Steve Trachsel,'03,,200,Mets,3,1-,2-4,5-11,12-16,17-19,20-21,-,22-23,-,24+,320,6,R,,Starter
Runelvys Hernandez,'05,,200,Royals,3,1-4,5-7,8-14,15-16,17-,18-19,-,20-24,-,25+,270,6,R,,Starter
Tony Armas Jr,'02,,200,Expos,2,1-3,4-8,9-13,14-17,18-19,20-25,-,-,-,26+,170,6,R,,Starter
Ricky Bottalico,'01,,201,Royals,2,1-3,4-8,9-13,14-17,18-19,-,-,20-,-,-,80,1,R,,Reliever
Billy Wagner,'00,,202,Astros,5,12-13,1-11,14-15,16-18,19-,20-,-,-,-,-,230,1,L,,Closer
Roger Clemens,'03,,202,Yankees,3,1-2,3-7,8-13,14-16,17-,18-19,-,20-23,-,24+,300,6,R,,Starter
Scot Shields,'05,,203,Angels,4,1-,2-6,7-13,14-16,17-,18-19,-,20-26,-,27+,210,2,R,,Reliever
Brad Radke,'04,,204,Twins,3,1-2,3-6,7-13,14-17,-,18-19,-,20-23,-,24+,200,6,R,,Starter
Graeme Lloyd,'02,,205,Expos,5,1-2,3-5,6-12,13-15,16-,17-19,-,20-25,-,26+,50,1,L,,Reliever
Ricky Bottalico,'05,,206,Mets,3,1-3,4-8,9-13,14-16,17-,18-19,-,20-26,-,27+,150,1,R,,Reliever
Steve Karsay,'03,,206,Yankees,3,1-,2-5,6-13,14-16,17-,18-19,-,20-24,-,25+,170,1,R,,Reliever
Scott Strickland,'02,,206,Expos,2,1-4,5-11,12-15,16-18,19-23,-,-,-,-,24+,90,1,R,,Reliever
Mike Mussina,'03,,207,Yankees,4,1-,2-5,6-11,12-16,17-,18-19,-,20-,-,21+,390,6,R,,Starter
Mike Thurman,'02,,208,Expos,4,1-3,4-6,7-12,13-15,16-,17-19,-,20-,-,21+,150,6,R,,Starter
